Sequence,Time,File,RangeOffset,RangeLength,Text,Language,Type
1,2,"dev/ABC424a.py",0,0,"# ABC424a\n# 2025-09-20 20:38:35\n\ndef main():\n    # 関数定義スペース\n\n    def func():\n        ...\n\n    ...    \n    # 入力スペース\n\n    N = splitN(input())\n    H, W = splitA(input())\n    A = splitA(input())\n    S = splitS(input())\n    S = splitB(input())\n\n    ...\n\n    # 処理スペース\n\n\n\n\n\n\n    ...\n\n\n\n# テストケース中枢処理\ndef case():\n    TESTCASE = 1\n    # TESTCASE = int(input()) # テストケース数の指定\n    for _ in range(TESTCASE):\n        try:\n            main()\n        except solvedException:\n            continue\n        # raise unSolvedExeption\n\n\n# インポート\nimport sys, itertools, math, heapq\nfrom collections import defaultdict, deque\nfrom sortedcontainers import SortedSet, SortedList, SortedDict  # CPython?\n\n# 定数・環境設定\nsys.setrecursionlimit(10**8)\nsys.set_int_max_str_digits(0)\ndict = defaultdict\nUPPER_ALPHABET = ""ABCDEFGHIJKLMNOPQRSTUVWXYZ""\nLOWER_ALPHABET=""abcdefghijklmnopqrstuvwxyz""\nMOD = 998244353\nMAX = 10**18\nLRUD = [(0, 1), (0, -1), (1, 0), (-1, 0)]\nLURULDRD = [(-1, -1), (-1, 1), (1, -1), (1, 1)]\n\n# 各種関数定義(超圧縮)\n## 便利関数\ndef printe(*values,sep="" "",end=""\n""):print(*values,sep=sep,end=end); fin()\ndef prin(stop=False,sep="" "",end=""\n"",file=sys.stdout):return (lambda*values:printe(*values,sep=sep,end=end)) if stop else (lambda*values:print(*values,sep=sep,end=end,file=file))\ndef yes(f=True): printe(""Yes"") if (f) else None\ndef no(f=True): printe(""No"") if (f) else None\ndef debug(*values,sep="" "",end=""\n""): print(*values,sep=sep,end=end,file=sys.stderr)\ndef printYN(f:bool): yes() if f else no()\ndef fin(f=True): raise solvedException if f else None\n## 分割関数\ndef split(value:str|list,sep:str="" "",func:callable=str) -> list:\n    result = []\n    if type(value) == list:\n        for i in range(len(value)):\n            result.append(split(value[i],sep))\n        return result\n    else:\n        if sep in value:\n            for i in value.split(sep):\n                result.append(func(i))\n        else:\n            result.append(func(value))\n        return result\n## 入力受け取り用\ndef input():return(sys.stdin.readline()).rstrip() #入力定数倍\ndef splitS(value:str|list,sep:str="" "")->str:return split(value,sep)[0] #文字列・分割して最初\ndef splitN(value:str|list,sep:str="" "")->int:return split(value,sep,int)[0] # 整数・分割して最初\ndef splitB(value:str|list,sep:str="" "")->list:return list(split(value,sep)) # 文字列・分割してすべて\ndef splitA(value:str|list,sep:str="" "")->list:return list(split(value,sep,int)) # 整数・分割してすべて\n\n# 例外クラス\nclass solvedException(Exception): pass # 処理打ち切り例外\nclass unSolvedExeption(Exception): # 回答未出力例外\n    def __init__(description = ""解答が出力されていません。""): super().__init__(description)\n\n# 実行\nif __name__ == ""__main__"":\n    case()\n",python,tab
2,48851,"dev/ABC424a.py",120,0,"# ",python,content
3,50928,"dev/ABC424a.py",149,1,"",python,content
4,51111,"dev/ABC424a.py",147,2,"",python,content
5,51511,"dev/ABC424a.py",146,1,"",python,content
6,52549,"dev/ABC424a.py",146,0,"H",python,content
7,52841,"dev/ABC424a.py",147,0,", ",python,content
8,53428,"dev/ABC424a.py",149,0,"W",python,content
9,54499,"dev/ABC424a.py",173,0,"# ",python,content
10,54885,"dev/ABC424a.py",199,0,"# ",python,content
11,55304,"dev/ABC424a.py",225,0,"# ",python,content
12,61165,"dev/ABC424a.py",146,0,"# ",python,content
13,62925,"dev/ABC424a.py",175,2,"",python,content
14,66556,"dev/ABC424a.py",194,0,")",python,content
14,66556,"dev/ABC424a.py",194,0,")",python,content
15,66556,"dev/ABC424a.py",179,0,"(",python,content
16,67192,"dev/ABC424a.py",179,0,"s",python,content
17,67328,"dev/ABC424a.py",180,0,"e",python,content
18,67426,"dev/ABC424a.py",181,0,"t",python,content
19,72478,"dev/ABC424a.py",199,0,")",python,content
19,72478,"dev/ABC424a.py",199,0,")",python,content
20,72478,"dev/ABC424a.py",179,0,"(",python,content
21,73092,"dev/ABC424a.py",179,0,";",python,content
22,73169,"dev/ABC424a.py",180,0,"e",python,content
23,73649,"dev/ABC424a.py",180,1,"",python,content
24,73811,"dev/ABC424a.py",179,1,"",python,content
25,73955,"dev/ABC424a.py",179,0,"l",python,content
26,74057,"dev/ABC424a.py",180,0,"e",python,content
27,74107,"dev/ABC424a.py",181,0,"n",python,content
28,75489,"dev/ABC424a.py",175,1,"",python,content
29,75973,"dev/ABC424a.py",175,0,"a",python,content
30,77532,"dev/ABC424a.py",176,0,"b",python,content
31,77672,"dev/ABC424a.py",177,0,"c",python,content
32,80478,"dev/ABC424a.py",259,0,"    ",python,content
33,81136,"dev/ABC424a.py",263,0,"p",python,content
34,81428,"dev/ABC424a.py",263,1,"",python,content
35,81623,"dev/ABC424a.py",263,0,"y",python,content
36,82023,"dev/ABC424a.py",263,1,"",python,content
37,82223,"dev/ABC424a.py",263,0,"p",python,content
38,82304,"dev/ABC424a.py",264,0,"r",python,content
39,82406,"dev/ABC424a.py",265,0,"i",python,content
40,82479,"dev/ABC424a.py",266,0,"n",python,content
41,82555,"dev/ABC424a.py",267,0,"t",python,content
42,82847,"dev/ABC424a.py",268,0,"Y",python,content
43,83071,"dev/ABC424a.py",269,0,"N",python,content
44,83309,"dev/ABC424a.py",270,0,"()",python,content
45,84056,"dev/ABC424a.py",271,0,"b",python,content
46,84335,"dev/ABC424a.py",271,1,"",python,content
47,84583,"dev/ABC424a.py",271,0,"b",python,content
48,84877,"dev/ABC424a.py",271,1,"",python,content
49,84947,"dev/ABC424a.py",271,0,"a",python,content
50,85082,"dev/ABC424a.py",272,0,"b",python,content
51,85227,"dev/ABC424a.py",273,0,"c",python,content
52,85527,"dev/ABC424a.py",274,0,"=",python,content
53,85689,"dev/ABC424a.py",275,0,"=",python,content
54,87998,"dev/ABC424a.py",276,0,"2",python,content
55,120629,"dev/ABC424b.py",0,0,"# ABC424b\n# 2025-09-20 20:38:35\n\ndef main():\n    # 関数定義スペース\n\n    def func():\n        ...\n\n    ...    \n    # 入力スペース\n\n    N = splitN(input())\n    H, W = splitA(input())\n    A = splitA(input())\n    S = splitS(input())\n    S = splitB(input())\n\n    ...\n\n    # 処理スペース\n\n\n\n\n\n\n    ...\n\n\n\n# テストケース中枢処理\ndef case():\n    TESTCASE = 1\n    # TESTCASE = int(input()) # テストケース数の指定\n    for _ in range(TESTCASE):\n        try:\n            main()\n        except solvedException:\n            continue\n        # raise unSolvedExeption\n\n\n# インポート\nimport sys, itertools, math, heapq\nfrom collections import defaultdict, deque\nfrom sortedcontainers import SortedSet, SortedList, SortedDict  # CPython?\n\n# 定数・環境設定\nsys.setrecursionlimit(10**8)\nsys.set_int_max_str_digits(0)\ndict = defaultdict\nUPPER_ALPHABET = ""ABCDEFGHIJKLMNOPQRSTUVWXYZ""\nLOWER_ALPHABET=""abcdefghijklmnopqrstuvwxyz""\nMOD = 998244353\nMAX = 10**18\nLRUD = [(0, 1), (0, -1), (1, 0), (-1, 0)]\nLURULDRD = [(-1, -1), (-1, 1), (1, -1), (1, 1)]\n\n# 各種関数定義(超圧縮)\n## 便利関数\ndef printe(*values,sep="" "",end=""\n""):print(*values,sep=sep,end=end); fin()\ndef prin(stop=False,sep="" "",end=""\n"",file=sys.stdout):return (lambda*values:printe(*values,sep=sep,end=end)) if stop else (lambda*values:print(*values,sep=sep,end=end,file=file))\ndef yes(f=True): printe(""Yes"") if (f) else None\ndef no(f=True): printe(""No"") if (f) else None\ndef debug(*values,sep="" "",end=""\n""): print(*values,sep=sep,end=end,file=sys.stderr)\ndef printYN(f:bool): yes() if f else no()\ndef fin(f=True): raise solvedException if f else None\n## 分割関数\ndef split(value:str|list,sep:str="" "",func:callable=str) -> list:\n    result = []\n    if type(value) == list:\n        for i in range(len(value)):\n            result.append(split(value[i],sep))\n        return result\n    else:\n        if sep in value:\n            for i in value.split(sep):\n                result.append(func(i))\n        else:\n            result.append(func(value))\n        return result\n## 入力受け取り用\ndef input():return(sys.stdin.readline()).rstrip() #入力定数倍\ndef splitS(value:str|list,sep:str="" "")->str:return split(value,sep)[0] #文字列・分割して最初\ndef splitN(value:str|list,sep:str="" "")->int:return split(value,sep,int)[0] # 整数・分割して最初\ndef splitB(value:str|list,sep:str="" "")->list:return list(split(value,sep)) # 文字列・分割してすべて\ndef splitA(value:str|list,sep:str="" "")->list:return list(split(value,sep,int)) # 整数・分割してすべて\n\n# 例外クラス\nclass solvedException(Exception): pass # 処理打ち切り例外\nclass unSolvedExeption(Exception): # 回答未出力例外\n    def __init__(description = ""解答が出力されていません。""): super().__init__(description)\n\n# 実行\nif __name__ == ""__main__"":\n    case()\n",python,tab
56,132241,"dev/ABC424a.py",0,0,"# ABC424a\n# 2025-09-20 20:38:35\n\ndef main():\n    # 関数定義スペース\n\n    def func():\n        ...\n\n    ...    \n    # 入力スペース\n\n    # N = splitN(input())\n    # H, W = splitA(input())\n    abc = len(set(splitA(input())))\n    # S = splitS(input())\n    # S = splitB(input())\n    printYN(abc==2)\n    ...\n\n    # 処理スペース\n\n\n\n\n\n\n    ...\n\n\n\n# テストケース中枢処理\ndef case():\n    TESTCASE = 1\n    # TESTCASE = int(input()) # テストケース数の指定\n    for _ in range(TESTCASE):\n        try:\n            main()\n        except solvedException:\n            continue\n        # raise unSolvedExeption\n\n\n# インポート\nimport sys, itertools, math, heapq\nfrom collections import defaultdict, deque\nfrom sortedcontainers import SortedSet, SortedList, SortedDict  # CPython?\n\n# 定数・環境設定\nsys.setrecursionlimit(10**8)\nsys.set_int_max_str_digits(0)\ndict = defaultdict\nUPPER_ALPHABET = ""ABCDEFGHIJKLMNOPQRSTUVWXYZ""\nLOWER_ALPHABET=""abcdefghijklmnopqrstuvwxyz""\nMOD = 998244353\nMAX = 10**18\nLRUD = [(0, 1), (0, -1), (1, 0), (-1, 0)]\nLURULDRD = [(-1, -1), (-1, 1), (1, -1), (1, 1)]\n\n# 各種関数定義(超圧縮)\n## 便利関数\ndef printe(*values,sep="" "",end=""\n""):print(*values,sep=sep,end=end); fin()\ndef prin(stop=False,sep="" "",end=""\n"",file=sys.stdout):return (lambda*values:printe(*values,sep=sep,end=end)) if stop else (lambda*values:print(*values,sep=sep,end=end,file=file))\ndef yes(f=True): printe(""Yes"") if (f) else None\ndef no(f=True): printe(""No"") if (f) else None\ndef debug(*values,sep="" "",end=""\n""): print(*values,sep=sep,end=end,file=sys.stderr)\ndef printYN(f:bool): yes() if f else no()\ndef fin(f=True): raise solvedException if f else None\n## 分割関数\ndef split(value:str|list,sep:str="" "",func:callable=str) -> list:\n    result = []\n    if type(value) == list:\n        for i in range(len(value)):\n            result.append(split(value[i],sep))\n        return result\n    else:\n        if sep in value:\n            for i in value.split(sep):\n                result.append(func(i))\n        else:\n            result.append(func(value))\n        return result\n## 入力受け取り用\ndef input():return(sys.stdin.readline()).rstrip() #入力定数倍\ndef splitS(value:str|list,sep:str="" "")->str:return split(value,sep)[0] #文字列・分割して最初\ndef splitN(value:str|list,sep:str="" "")->int:return split(value,sep,int)[0] # 整数・分割して最初\ndef splitB(value:str|list,sep:str="" "")->list:return list(split(value,sep)) # 文字列・分割してすべて\ndef splitA(value:str|list,sep:str="" "")->list:return list(split(value,sep,int)) # 整数・分割してすべて\n\n# 例外クラス\nclass solvedException(Exception): pass # 処理打ち切り例外\nclass unSolvedExeption(Exception): # 回答未出力例外\n    def __init__(description = ""解答が出力されていません。""): super().__init__(description)\n\n# 実行\nif __name__ == ""__main__"":\n    case()\n",python,tab
57,141733,"dev/ABC424a.py",275,1,"",python,content
58,141868,"dev/ABC424a.py",274,1,"",python,content
59,142164,"dev/ABC424a.py",274,0,"<",python,content
60,143335,"dev/ABC424a.py",275,0,"=",python,content
